id,question,option_a,option_b,option_c,option_d,correct_answer,question_type,question_level,topic,subject_domain,language
cee87264-aff1-4cb0-aa19-a0ac73a8f9c4,इम्यूनोग्लोबुलिन की संरचना को बनाए रखने में कौन सा तत्व महत्वपूर्ण है?,P,S,Fe,Ca,B,MCQ,Medium,Immunology,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
13c1d683-b940-43c9-9ecb-bd917793dcdc,धातक्यादि तैल का प्रयोग ........................................ योनिव्यापद के प्रबंधन में होता है।,अतिचरण,अचरण,विप्लुट,महायोनि,D,MCQ,Medium,Striroga,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
bc3c8057-f9da-43e1-8a12-f22f53e0b0a1,विटामिन K की इंजेक्शन ______ मार्ग द्वारा दी जाती है।,मांसपेशियों के भीतर,त्वचा के भीतर,त्वचा के नीचे,मौखिक रूप से,A,MCQ,Easy,Ayurvedic Pharmacology,Dravyaguna & Bhaishajya,hi
27c8e7eb-b8f6-4c56-947a-1a15a0c90144,एड्स की सुप्त अवधि …………… है।,15 से 57 दिन,15 से 57 महीने,15 से 57 वर्ष,15 से 57 घंटे,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
8206d137-49a9-4640-968b-61239392189d,सूची I को सूची II से सुमेलित कीजिए: (चरक के अनुसार) (A) कोष्ठाश्रित वात (B) अमाशयगत वात (C) त्वक्गत वात (D) पक्वाशयगत वात को (1) पार्वरुक (II) त्रिकावेदना (III) पार्श्वशूल (IV) हृन्नाभि पार्श्व उदर रुक,"(A)-(IV), (B)-(III), (C)-(III), (C)-(I), (D)-(II)","(A)-(III), (B)-(IV), (C)-(I), (D)-(I), (D)-(II)","(A)-(I), (B)-(II), (C)-(II), (C)-(III), (D)-(IV)","(A)-(II), (B)-(I), (C)-(I), (C)-(III), (D)-(IV)",A,Match the column,Hard,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
53d09485-73d6-4e4a-8f8d-c8c49a739ebd,चरक संहिता अध्याय 3 में किस वर्ग का उल्लेख उष्ण वीर्य द्रव्य के रूप में किया गया है?,अगुर्वादि तैल,चन्दनादि तैल,दीपनीय,शूलप्रशमन,A,MCQ,Medium,Dravyaguna,Dravyaguna & Bhaishajya,hi
e9d92184-a607-4622-84a1-d22c1c288e09,"वाक्य ""मंच क्रोशति"" (मंच शोर कर रहा है) में ------------- लक्षणा का उल्लेख है।",जहत लक्षणा,अजहत लक्षणा,जहत-अजहत लक्षणा,तात्पर्याख्या,A,MCQ,Hard,Sanskrit,Ayurvedic Literature & History,hi
3ad17002-67fe-4b15-8236-45ba989f600b,चरक संहिता में उल्लिखित व्रणोपद्रवसारे की संख्या ………. है।,24,16,8,4,B,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
7908b6e0-2ed4-4c94-953d-831a8f560c46,पैक्ड आरबीसी के अधिकतम परिमाण का आधान है...,20-30 मिली/किग्रा,5 मिली/किग्रा,10-15 मिली/किग्रा,उपरोक्त में से कोई नहीं,A,MCQ,Medium,Panchakarma,Panchakarma & Rasayana,hi
6d5cf5fc-6023-49c4-ab19-858d128761bf,भ्रूण में परिपक्वता की प्राप्ति का महत्वपूर्ण सबूत ...... में अस्थिकरण केंद्र की उपस्थिति है।,ह्यूमरस के निचले सिरे में,फीमर के निचले सिरे में,ह्यूमरस के ऊपरी सिरे में,फीमर के ऊपरी सिरे में,B,MCQ,Medium,Forensic Medicine,Agad Tantra & Forensic Medicine,hi
bc247771-1620-4cb6-9b0f-e1ec21237d5f,शारंगधर के अनुसार वामक द्रव्य की हीन क्वाथ मात्रा है,9 प्रस्थ,6 प्रस्थ,14 पल,3 प्रस्थ,D,MCQ,Easy,Panchakarma,Panchakarma & Rasayana,hi
9fdae69f-82f8-4ad3-9f84-95461d5e1724,रात्रि जाग्रण रुक्षम शिंगधम् प्रस्वपनम् दिवा| अरुक्षम अनभिषिन्धि .......,त्वासिनम् पचाल्यतिचम्,प्रजाग्रणम्,समनिद्र,भुकत्वच दिवास्वप्न,B,MCQ,Medium,Nidra,Yoga & Psychology,hi
0ffa8306-0474-4cd5-9239-cef9551e7c63,"डोषावेगे च विगते सुप्तवत प्रतिबद्धते"" यह वर्णन करता है...?",उन्माद,अपस्मार,मदात्यय,उपरोक्त सभी,D,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
158d22fc-9436-435f-b5db-a3d549895036,कोष्ठ को ..... प्रकारों में विभाजित किया गया है,2,3,4,5,B,MCQ,Easy,Agni,Samhita & Siddhanta (Fundamentals),hi
b41e38e5-2b54-4746-8d8a-30a20b6e3d67,रक्तपथ शब्द का प्रयोग कहाँ हुआ है?,अष्टांगसंग्रह,काश्यप,योगरत्नाकर,हरीत,A,MCQ,Hard,Ayurvedic Concepts,Samhita & Siddhanta (Fundamentals),hi
72896e2b-7c30-47bd-b137-3ee2cfe56050,"“धावयति शुद्धयति झंति धावन” is mentioned by ----,,------आचार्य।",चरक,सुश्रुत,वाग्भट,काश्यप,B,MCQ,Easy,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
e86e1227-5f68-4836-82b0-47a3fb88a820,Daivyavyapasharay chikitsa is given in----,Prameha,Unmad,Jwara,Kasa,B,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
7da53905-c2a8-4981-a897-7983aeed85d4,प्रकृति का निर्माण किसके कारण होता है......,शुक्र-ओज,शुक्र-शोणित,रस-रक्त,अस्थि-शोणित,B,MCQ,Easy,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),hi
0e69f14b-e419-40ad-9434-e8c94d379058,चरकाचार्य के अनुसार अस्थिवह स्रोतस का मूलस्थान क्या है?,मेदा और वृक्क,मेदा और संधि,मेदा और जघन,मेदा और वपवाहन,D,MCQ,Easy,Srotas,Samhita & Siddhanta (Fundamentals),hi
8e20220e-f026-43b2-bb46-e933df8b2385,पेरिटोनाइटिस की जटिलता है ....,उपडायाफ्रामैटिक एब्सेस,अग्न्याशय एब्सेस,प्सोआस एब्सेस,यकृत एब्सेस,A,MCQ,Medium,Shalya Tantra,Shalya Tantra (Surgery),hi
2deaf699-320a-4bfc-9369-79bdc6e2f832,"----------, मक्कल और योनिसंवरण मूढ़गर्भ की असाध्य विशेषताएं हैं।",विलंबितावि,गर्भकोष पारसंग,शूल,दाह,B,MCQ,Hard,Prasutitantra,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
d6ce2530-f733-46f7-aaa5-765014f4202a,"शाई धर संहिता अनुसार, मान परिभाषा के संदर्भ में निम्नलिखित में से कौन-सा च्रोण का प्रयवाची नहीं है?",घट,राशी,कलश,कुभ,A,MCQ,Easy,Samhita & Siddhanta,Samhita & Siddhanta (Fundamentals),hi
1c2b955e-b703-4261-b36f-0566b122f28b,Asthi dhatu is ... ... घटक,Matruj,Kaphaj,Pitruj,Raktaj,C,MCQ,Easy,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
3d9e9e7e-9269-4e6f-9a88-8f0c15130875,Bhuktasya Stambha,Udar,Raktagata Vata,Vatarakta,All of these,B,MCQ,Medium,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
9f2d0712-e08a-4f48-acae-eebc79e2d86c,त्यक्त विषाद निम्नलिखित में से किस धातुसर्ता की विशेषता है?,रस,सत्व,कफ,मेद,B,MCQ,Medium,Ayurvedic Physiology,Sharir (Anatomy & Physiology),hi
965978d9-cfa7-44b7-8169-77d5b8428914,"रचना के अनुसार, शंख एक प्रकार का ……….. मर्म है।",सिरा,संधि,मांस,अस्थि,D,MCQ,Easy,Ayurvedic Anatomy,Sharir (Anatomy & Physiology),hi
dc26114e-25d4-42da-8f0a-d8a7a5b4d075,अमेनोरिया'' किस योनिव्यापद में पाया जाता है?,सूचिमुखी,कर्णिनी,अरजस्का,पित्तज,A,MCQ,Easy,Striroga,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
804fa807-37f9-4a95-8617-28e2e7122d26,एज़ूस्पर्मिया (Azoospermia) है ... ......,सामान्य शुक्राणु संख्या,अगतिशील शुक्राणु,असामान्य शुक्राणु संख्या,शून्य शुक्राणु संख्या,D,MCQ,Easy,Striroga,Stri Roga & Prasuti Tantra (Gynecology & Obstetrics),hi
31ca07ea-71f7-4edd-8bc5-119b12dc1de7,न च स्पर्शम्ण्णं च सुष्यत इति,rohini,Patika shotha,Galshundikā,All of the above,D,MCQ,Hard,Kayachikitsa,Kayachikitsa (General Medicine & Internal Medicine in Ayurveda),hi
340e5142-2a8c-4f34-9e1d-20edefaf6135,"चरक संहिता में मानस प्रकृति के अनुसार, ""अतिलोलुपमकर्मशील"" प्रकृति में देखा जाता है।",Shaakuna,Praita,Saarpa,Paishaaja,D,MCQ,Medium,Samhita & Basic Principles,Samhita & Siddhanta (Fundamentals),hi
