ITA_ID,English_Term,Sanskrit_IAST
ITA-1.1.1,Ayurveda,Āyurvedaḥ
ITA-1.2.1,"Life process, cycle or span",1.āyuḥ; 2.dhāri; 3.jīvitam; 4.nityaga; 5.anubandhaḥ
ITA-1.2.2,Salutary life,hitāyuḥ
ITA-1.2.3,Unsalutary life,ahitāyuḥ
ITA-1.2.4,High quality of life,sukhāyuḥ
ITA-1.2.5,Poor quality of life,duḥkhāyuḥ
ITA-1.3.1,Three core principles of Ayurveda knowledge,"trisūtrāyurvedaḥ, triskandhaḥ"
ITA-1.4.1,Eight clinical specialities of Ayurveda,aṣṭāṅgāyurvedaḥ
ITA-1.4.2,Treatment,cikitsā
ITA-1.4.3,General medicine,kāyacikitsā
ITA-1.4.4,Child and maternal health,"bālacikitsā, kaumārabhṛtyam"
ITA-1.4.5,Psychiatry,"grahacikitsā, bhūtavidyā"
ITA-1.4.6,Head and neck medicine,"śālakyatantra, ūrdhvāṅgacikitsā"
ITA-1.4.7,Surgery,śalyacikitsā
ITA-1.4.8,Toxicology,"viṣacikitsā, garacikitsā"
ITA-1.4.9,Geriatrics,"rasāyanacikitsā, jarācikitsā"
ITA-1.4.10,Fertility treatment,"vājīkaraṇacikitsā̄, vṛṣacikitsā,"
ITA-1.4.11,"Obstetrics, gynecology","prasūtītantra, strīroga"
ITA-1.5.1,Knowledge system or treatise,"śāstram, sūtram, śākhāvidyā, jñānam, tantram, vidhiḥ, vijñānam, lakṣaṇam"
ITA-1.5.2,"Aphorism, summarized knowledge",sūtram
ITA-1.5.3,Branch of knowledge,śākhā
ITA-1.5.4,"Knowledge, discipline",vidyā
ITA-1.5.5,"Understanding, religious knowledge",jñānam
ITA-1.5.6,"Treatise, structurally organized knowledge",tantram
ITA-1.5.7,Mandatory injunction,vidhiḥ
ITA-1.5.8,Applied knowledge,vijñānam
ITA-1.5.9,Qualities of technical writing,śāstraguṇāḥ
ITA-1.6.1,Devices for composition and analysis of technical treatises,tantrayuktiḥ
ITA-1.6.2,Extending the scope or inclusiveness of a rule,atideśaḥ
ITA-1.6.3,Retrospective crossreferencing,atītāvekṣaṇam
ITA-1.6.4,Topic or subject of discussion,adhikaraṇam
ITA-1.6.5,Prospective crossreferencing,anāgatavekṣaṇam
ITA-1.6.6,Acceptance by not refuting,anumataḥ
ITA-1.6.7,Acceptance of multiple conclusions,anekāntaḥ
ITA-1.6.8,Supporting a proposed hypothesis,apadeśaḥ
ITA-1.6.9,Statement of exception,apavargaḥ
ITA-1.6.10,Implied or inferred meaning,arthāpattiḥ
ITA-1.6.11,Concise statement,uddeśaḥ
ITA-1.6.12,Consolidating an opinion by refuting other hypotheses,uddhāraḥ
ITA-1.6.13,Authoritative instruction,upadeśaḥ
ITA-1.6.14,Extrapolation,ūhyam
ITA-1.6.15,Definite conclusion,ekāntaḥ
ITA-1.6.16,Illustrative statement,nidarśanam
ITA-1.6.17,"Execution of appropriate action, mandatory instruction",niyogaḥ/ sanniyogaḥ
ITA-1.6.18,Decision based on critical analysis,nirṇayaḥ
ITA-1.6.19,"Detailed description, elaboration of statement",nirdeśaḥ
ITA-1.6.20,Technical definition,nirvacanam
ITA-1.6.21,Objecting or opposing a proposed hypothesis,pūrvapakṣaḥ
ITA-1.6.22,Negating or refuting an opposing viewpoint,pratyutsāraḥ
ITA-1.6.23,Partial description,pradeśaḥ
ITA-1.6.24,"Aim, objective",Prayojanam
ITA-1.6.25,Contextual repetition,prasaṅgaḥ
ITA-1.6.26,"Union, compounding, a structured sentence (syntax)",yogaḥ
ITA-1.6.27,Supply of ellipsis,vākyaśeṣaḥ
ITA-1.6.28,Optional instructions,vikalpanam
ITA-1.6.29,Sequential narration or enumeration,vidhānam
ITA-1.6.30,Implying the opposite meaning,viparyayaḥ
ITA-1.6.31,Lucid explanation,vyākhyānam
ITA-1.6.32,Inconclusive statement,saṃśayaḥ
ITA-1.6.33,Enlisting one by one,samuccayaḥ
ITA-1.6.34,Statement indicating a source,sambhavaḥ
ITA-1.6.35,Technical terminology limited to a school of thought,svasañjñā
ITA-1.6.36,Extended reasoning,hetvarthaḥ
ITA-1.6.37,Source of meaning,arthāśrayaḥ
ITA-1.6.38,"Concept, hypothesis",kalpanā
ITA-1.6.39,Inclinations,tācchilyam
ITA-1.6.40,"Explanation, commentary",vyākhyā
ITA-1.7.1,Theory,siddhāntaḥ
ITA-1.7.2,Doctrine,vādaḥ
ITA-1.7.3,Rules for debate,vādamārgaḥ
ITA-1.7.4,Unquestionable statement,ananuyojyam
ITA-1.7.5,Question,anuyogaḥ
ITA-1.7.6,Questionable statement,anuyojyam
ITA-1.7.7,Unquestioning acceptance,abhyanujñā
ITA-1.7.8,Implied meaning,arthaprāptiḥ
ITA-1.7.9,Varying meaning or shifting the topic,arthāntaram
ITA-1.7.10,Rejoinder,uttaram
ITA-1.7.11,Application of proof,upanayaḥ
ITA-1.7.12,Abusive argument,upālambhaḥ
ITA-1.7.13,Perverted or deceitful argument,chalaḥ
ITA-1.7.14,Defensive argument,jalpaḥ
ITA-1.7.15,Inquisitiveness,jijñāsā
ITA-1.7.16,Discussion amongst peers,tadvidyasambhāṣā
ITA-1.7.17,"Deduction, conclusion",nigamanam
ITA-1.7.18,Point of defeat,nigrahasthānam
ITA-1.7.19,Amendment of a faulty statement,parihāraḥ
ITA-1.7.20,"Proposition, proposed hypothesis",pratijñā
ITA-1.7.21,Abandoning the hypothesis,pratijñāhāniḥ
ITA-1.7.22,Proving the alternate hypothesis,pratiṣṭhāpanā
ITA-1.7.23,Counter-question,pratyanuyogaḥ
ITA-1.7.24,"Syntax error, defective sentence",vākyadoṣaḥ
ITA-1.7.25,Correct statement,vākyapraśaṃsā
ITA-1.7.26,"Hostile debate, offensive argument",vitaṇḍā
ITA-1.7.27,Decision,vyavasāyaḥ
ITA-1.7.28,Proving the proposed hypothesis,sthāpanā
ITA-1.7.29,Proposing the wrong reason,hetvantaram
ITA-1.7.30,Discussion and debate amongst peers,"tadvidyasaṃbhāṣā,"
ITA-1.7.31,Productive debate,sandhāyasaṃbhāṣā
ITA-1.7.32,"Unproductive, hostile debate",vigṛhyasaṃbhāṣā
ITA-1.8.1,"Investigation, examination",parīkṣā
ITA-1.8.2,Knowledge,pramā
ITA-1.8.1.1,"Direct perception, observation",pratyakṣam
ITA-1.8.1.2,Contact,sannikarṣaḥ
ITA-1.8.1.3,Indeterminate perception,nirvikalpakam
ITA-1.8.1.4,Determinate perception,savikalpakam
ITA-1.8.2.1,Inference based on observations,anumānam
ITA-1.8.2.2,Inferential knowledge,anumitiḥ
ITA-1.8.2.3,Fallacious reason,ahetuḥ
ITA-1.8.2.4,Cause or variable,hetu
ITA-1.8.2.5,"Cause or variable, independent variable",sadhetu
ITA-1.8.2.6,Independent variable,sādhana
ITA-1.8.2.7,Dependent variable,sādhya
ITA-1.8.2.8,False positive or false negative,hetvābhāsaḥ
ITA-1.8.2.9,"Invariable concomitance, sensitivity",avinābhāvasaṃbandhaḥ
ITA-1.8.2.10,"Non-deviation, specificity",avyabhicāritva
ITA-1.8.2.11,Inseparable coexistence,ayutasiddhatvam
ITA-1.8.2.12,Chance effect,yadṛcchāsiddhiḥ
ITA-1.8.2.13,Real effect,prātiniyamikīsiddhiḥ
ITA-1.8.2.14,Conditional effect,aupādhika
ITA-1.8.2.15,Negative correlation,kevalavyatirekianumānam
ITA-1.8.2.16,Positive correlation,kevalānvayi-anumānam
ITA-1.8.2.17,Speculative reasoning or debate,tarkaḥ
ITA-1.8.2.18,Inference for self,svārthānumānam
ITA-1.8.2.19,Inference for others,parārthānumānam
ITA-1.8.2.20,Improper reason appearing identical to the subject,prakaraṇasamaḥ
ITA-1.8.2.21,Inference based on analogy,parāmarśaḥ
ITA-1.8.2.22,Subject under investigation,pakṣaḥ
ITA-1.8.2.23,Context in which a cause-and-effect relationship is affirmed,sapakṣaḥ
ITA-1.8.2.24,Context in which a cause-and-effect relationship is negated,vipakṣaḥ
ITA-1.8.2.25,Invariable concomitance,vyāptiḥ
ITA-1.8.2.26,Negative invariable concomitance,vyatirekavyāptiḥ
ITA-1.8.2.27,Five-stepped syllogism,pañcāvayava-vākyam
ITA-1.8.2.28,Categorical examples,udāharaṇam
ITA-1.8.2.29,Causative agent,kāraṇam
ITA-1.8.2.30,Inherent cause,samavāyikāraṇam
ITA-1.8.2.31,Non-inherent cause,asamavāyi-kāraṇam
ITA-1.8.2.32,Efficient cause,nimitta-kāraṇam
ITA-1.8.3.1,"Codified knowledge, expert opinion",āptopadeśaḥ
ITA-1.8.3.2,"Reasoning, understanding causation",yuktiḥ
ITA-1.8.3.3,Analogy,upamānaḥ
ITA-1.8.3.4,"Object of knowledge, the object of investigation",prameyaḥ
ITA-1.8.3.5,Object denoted by a word,padārthaḥ
ITA-1.9.1,Six ontological categories of an object,ṣaṭpadārthāḥ
ITA-1.9.1.1,"Generality, shared feature",sāmānyam
ITA-1.9.1.2,Similarity at the level of substance,dravya-sāmānyam
ITA-1.9.1.3,Similarity at the level of qualities or properties,guṇa-sāmānyam
ITA-1.9.1.4,Similarity at the level of action,karma-sāmānyam
ITA-1.9.2.1,"Particularity, distinct feature",viśeṣam
ITA-1.9.2.2,Dissimilarity at the level of substance,dravya-viśeṣaḥ
ITA-1.9.2.3,Dissimilarity at the level of quality,guṇa-viśeṣaḥ
ITA-1.9.2.4,Dissimilarity at the level of action,karma-viśeṣaḥ
ITA-1.9.3.1,"Substance, entity",dravyam
ITA-1.9.3.1.1,Causal material,kāraṇadravyam
ITA-1.9.3.1.2,Five elements,pañcamahābhūta
ITA-1.9.3.1.3,Space element,ākāśaḥ
ITA-1.9.3.1.4,Air element,vāyuḥ
ITA-1.9.3.1.5,Fire element,Tejaḥ
ITA-1.9.3.1.6,Water element,jalam
ITA-1.9.3.1.7,Earth element,pṛthvī
ITA-1.9.3.1.8,"Rudimentary, undifferentiated element",tanmātrā
ITA-1.9.3.2.1,Self,ātmā
ITA-1.9.3.2.2,Self-embodied being,bhūtātmā
ITA-1.9.3.2.3,"Living being, individual self",jīvaḥ
ITA-1.9.3.2.4,The knower,jñaḥ
ITA-1.9.3.2.5,"The doer, the executing agent",kartā
ITA-1.9.3.2.6,Witness of all actions,sākṣī
ITA-1.9.3.2.7,Relating to self,ādhyātmika
ITA-1.9.3.2.8,"Subtle body, causal body",ativāhika-śarīram/ sūkṣmaśarīram/ liṅgaśarīram
ITA-1.9.3.2.9,"Person, living being",puruṣaḥ
ITA-1.9.3.2.10,Complete self-control,vaśī
ITA-1.9.3.2.11,Person as the object of treatment,"cikitsya-puruṣaḥ, ṣaḍdhātupuruṣa"
ITA-1.9.3.2.12,Embodied being composed of 24 elements,caturviṃśati-puruṣaḥ
ITA-1.9.3.2.13,"Invisible, unforeseen",adṛṣṭam
ITA-1.9.3.2.14,Inactive,niṣkriyaḥ
ITA-1.9.3.2.15,Omnipresent,vibhu
ITA-1.9.3.2.16,Without beginning,anādi
ITA-1.9.3.2.17,Consciousness,cetanā/ caitanyam
ITA-1.9.3.2.18,Eternal,nityam
ITA-1.9.3.2.19,Formless,nirvikāram
ITA-1.9.3.2.20,Irresistible will,prākāmyam
ITA-1.9.3.2.21,Immutable,avyayaḥ
ITA-1.9.3.2.22,"Observer, witness of all actions",draṣṭā
ITA-1.9.3.2.23,Independent,svatantra
ITA-1.9.3.2.24,Introverted consciousness,antaścetana
ITA-1.9.3.2.25,"Salvation, liberation",mokṣaḥ
ITA-1.9.3.2.26,Perception of truth,satyabuddhiḥ
ITA-1.9.3.2.27,Liberation in the embodied state,jīvanmuktiḥ
ITA-1.9.3.2.28,Person showing signs of impending death,puṣpitaḥ
ITA-1.9.3.2.29,After death,pretya
ITA-1.9.3.3.1,"Mind, psyche","manaḥ, cetaḥ"
ITA-1.9.3.3.2,Characteristics of mind,manoguṇaḥ/svarūpam
ITA-1.9.3.3.3,Atomicity,"aṇutva, paramāṇu"
ITA-1.9.3.3.4,Singularity,ekatva
ITA-1.9.3.3.5,Trans-sense migration,indriyāntara-sañcāraḥ
ITA-1.9.3.3.6,"Transient, perishable",anityam
ITA-1.9.3.3.7,Objects of the mind,manoarthaḥ
ITA-1.9.3.3.8,Decision-making,cintanam
ITA-1.9.3.3.9,Reasoning,vicāraḥ
ITA-1.9.3.3.10,Conjecture,ūhaḥ
ITA-1.9.3.3.11,Contemplation,dhyānam
ITA-1.9.3.3.12,Evaluation,saṅkalpaḥ
ITA-1.9.3.3.13,Psychological or mental attributes,mānasika-bhāvaḥ
ITA-1.9.3.3.14,Intellect,dhīḥ
ITA-1.9.3.3.15,Ability to control impulses,dhṛtiḥ
ITA-1.9.3.3.16,"Memory, recollection",smṛtiḥ
ITA-1.9.3.3.17,Six internal enemies,ṣaḍripuḥ
ITA-1.9.3.3.18,"Desire, lust",kāmaḥ
ITA-1.9.3.3.19,Anger,krodhaḥ
ITA-1.9.3.3.20,Greed,lobhaḥ
ITA-1.9.3.3.21,Delusion,mohaḥ
ITA-1.9.3.3.22,Arrogance,madaḥ
ITA-1.9.3.3.23,Discontentment,mātsaryam
ITA-1.9.3.3.24,Ego,ahaṅkāraḥ
ITA-1.9.3.3.25,Self-restraint,damaḥ
ITA-1.9.3.3.26,Devotion,bhaktiḥ
ITA-1.9.3.3.27,Shyness,lajjā
ITA-1.9.3.3.28,Humility,vinayaḥ
ITA-1.9.3.3.29,Discrimination,vivekaḥ
ITA-1.9.3.3.30,"Grief, sorrow or misery",śokaḥ
ITA-1.9.3.3.31,Delusion,sammohaḥ
ITA-1.9.3.3.32,Contentment,alobhaḥ
ITA-1.9.3.3.33,Pride,darpaḥ
ITA-1.9.3.3.34,Inner cognitive faculty,antaḥkaraṇam
ITA-1.9.3.4.1,Time,kālaḥ
ITA-1.9.3.5.1,Direction,diśaḥ
ITA-1.9.3.6.1,"Unmanifest, without form",amūrtadravyam
ITA-1.9.3.6.2,"Substances having form, gross substances","Mūrtadravya, paramāṇuḥ"
ITA-1.9.3.7.1,"Resultant material, product or effect",kāryadravyam
ITA-1.9.3.7.2,Sentient being,cetana-dravyam/ sendriyaḥ
ITA-1.9.3.7.3,"Stationary in form, inner sentience",sthāvaraḥ/antaścetanaḥ
ITA-1.9.3.7.4,Plant bearing fruits only,vanaspatiḥ
ITA-1.9.3.7.5,Plant bearing flowers and fruits,vānaspatya
ITA-1.9.3.7.6,Tree,vṛkṣaḥ
ITA-1.9.3.7.7,Small plant,vīrudha
ITA-1.9.3.7.8,Climber,latā
ITA-1.9.3.7.9,Shrub,gulma
ITA-1.9.3.7.10,A plant which withers after fructification,oṣadhī
ITA-1.9.3.7.11,Mobile life form with internal and external sentience,jaṅgamaḥ/ bahirantaścetanaḥ
ITA-1.9.3.7.12,Viviparous animals,jarāyujaḥ
ITA-1.9.3.7.13,Oviparous animals,aṇḍajaḥ
ITA-1.9.3.7.14,Creatures generated by humidity,svedajaḥ
ITA-1.9.3.7.15,Telluric creatures,udbhijaḥ
ITA-1.9.3.7.16,Insentient material,acetana-dravyam/ nirindriyaḥ
ITA-1.9.3.7.17,Mineral substances,khanijaḥ
ITA-1.9.3.7.18,Synthetic substances,kṛtrimam
ITA-1.9.4.1,"Property, quality or trait",guṇaḥ
ITA-1.9.4.2,Three primordial psychophysical attributes of nature,"triguṇāḥ, mahāguṇaḥ"
ITA-1.9.4.3,"Tranquillity, harmony",sattvam
ITA-1.9.4.4,"Agitation, activity",rajaḥ
ITA-1.9.4.5,Inertia,tamaḥ
ITA-1.9.4.1.1,Objects of special senses,"arthaḥ, vaiśeṣikaguṇāḥ"
ITA-1.9.4.1.2,Smell,gandhaḥ
ITA-1.9.4.1.3,Taste,rasaḥ
ITA-1.9.4.1.4,"Visual form, colour",rūpaḥ
ITA-1.9.4.1.5,Touch,sparśaḥ
ITA-1.9.4.1.6,Sound,śabdaḥ
ITA-1.9.4.2.1,"Physical attributes, properties or qualities",śārīra-guṇāḥ/gurvādiguṇāḥ
ITA-1.9.4.2.2,Heaviness,guruḥ
ITA-1.9.4.2.3,Lightness,laghuḥ
ITA-1.9.4.2.4,"Mildness, slowness",mandaḥ
ITA-1.9.4.2.5,"Sharpness, speed",tīkṣṇaḥ
ITA-1.9.4.2.6,Coldness,śītaḥ
ITA-1.9.4.2.7,Hotness,uṣṇaḥ
ITA-1.9.4.2.8,"Unctuousness, oiliness",snigdhaḥ
ITA-1.9.4.2.9,Dryness,rūkṣaḥ
ITA-1.9.4.2.10,"Smoothness, slipperiness",ślakṣṇaḥ
ITA-1.9.4.2.11,Roughness,kharaḥ
ITA-1.9.4.2.12,"Density, viscidity",sāndraḥ
ITA-1.9.4.2.13,"Fluidity, liquidness",dravaḥ
ITA-1.9.4.2.14,"Softness, mildness",mṛduḥ
ITA-1.9.4.2.15,Hardness,kaṭhinaḥ
ITA-1.9.4.2.16,"Minuteness, penetrating",sūkṣmaḥ
ITA-1.9.4.2.17,"Grossness, bulkiness",sthūlaḥ
ITA-1.9.4.2.18,"Stability, immobility",sthiraḥ
ITA-1.9.4.2.19,"Instability, mobility",saraḥ
ITA-1.9.4.2.20,"Conspicuous-ness, leanness, shininess",viśadaḥ
ITA-1.9.4.2.21,"Sliminess, murkiness",picchilaḥ
ITA-1.9.4.3.1,Qualities of the self,ātmaguṇaḥ
ITA-1.9.4.3.2,"Intelligence, intellect",buddhiḥ
ITA-1.9.4.3.3,"Pleasure, happiness",sukham
ITA-1.9.4.3.4,"Sorrow, pain",duḥkham
ITA-1.9.4.3.5,"Desire, craving",icchā
ITA-1.9.4.3.6,Aversion,dveṣaḥ
ITA-1.9.4.3.7,Effort,prayatnaḥ
ITA-1.9.4.4.1,Qualities beginning with term “paratva”,parādiguṇaḥ
ITA-1.9.4.4.2,"Relatively superior, nearer the cause",paratvam
ITA-1.9.4.4.3,"Relatively inferior, further from the cause",aparatvam
ITA-1.9.4.4.4,"Number, enumeration, tally",saṃkhyā
ITA-1.9.4.4.5,Combination,saṃyogaḥ
ITA-1.9.4.4.6,Division,vibhāgaḥ
ITA-1.9.4.4.7,"Separation or exclusion, particularity",pṛthaktvam
ITA-1.9.4.4.8,"Quantity, measurement",parimāṇaḥ
ITA-1.9.4.4.9,"Logical management, rationale",yuktiḥ
ITA-1.9.4.4.10,Alteration of properties,saṃskāraḥ
ITA-1.9.4.4.11,Practice,abhyāsaḥ
ITA-1.9.5.1,Action,karma
ITA-1.9.6.1,Inherence,samavāyaḥ
ITA-1.9.7.1,Nonexistence,abhāvaḥ
ITA-1.9.7.2,Prior nonexistence,prāgabhāvaḥ
ITA-1.9.7.3,Posterior nonexistence,pradhvaṃsābhāvaḥ
ITA-1.9.7.4,Absolute nonexistence,atyantābhāvaḥ
ITA-1.9.7.5,Mutual nonexistence,anyonyābhāvaḥ
ITA-1.10.1,Major triad of Ayurveda texts,"bṛhattrayī (Carakasaṃhita, Suśrutasaṃhita, Aṣṭāṅgasamgraha, Aṣṭāṅgahṛdaya)"
ITA-1.10.2,Lesser triad of Ayurveda texts,"Laghutrayī (Mādhavanidāna, Śārṅgadharasaṃhita, Bhāvaprakāśa)"
ITA-1.10.3,Materia medica,nighaṇṭuḥ
