ITA_ID,English_Term,Ground_Truth,Predicted,Match
ITA-1.1.1,Ayurveda,Āyurvedaḥ,ayurveda,True
ITA-1.2.1,"Life process, cycle or span",1.āyuḥ; 2.dhāri; 3.jīvitam; 4.nityaga; 5.anubandhaḥ,jīvan,False
ITA-1.2.2,Salutary life,hitāyuḥ,svasthavrtta,False
ITA-1.2.3,Unsalutary life,ahitāyuḥ,asvasthavrtta,False
ITA-1.2.4,High quality of life,sukhāyuḥ,uttama svastha,False
ITA-1.2.5,Poor quality of life,duḥkhāyuḥ,hīna svastha,False
ITA-1.3.1,Three core principles of Ayurveda knowledge,"trisūtrāyurvedaḥ, triskandhaḥ",tridosha,False
ITA-1.4.1,Eight clinical specialities of Ayurveda,aṣṭāṅgāyurvedaḥ,aṣṭāṅga,True
ITA-1.4.2,Treatment,cikitsā,cikitsā,True
ITA-1.4.3,General medicine,kāyacikitsā,kāya cikitsā,False
ITA-1.4.4,Child and maternal health,"bālacikitsā, kaumārabhṛtyam",bāla roga,False
ITA-1.4.5,Psychiatry,"grahacikitsā, bhūtavidyā",manas cikitsā,False
ITA-1.4.6,Head and neck medicine,"śālakyatantra, ūrdhvāṅgacikitsā",śirō roga,False
ITA-1.4.7,Surgery,śalyacikitsā,śalya cikitsā,False
ITA-1.4.8,Toxicology,"viṣacikitsā, garacikitsā",visha cikitsā,False
ITA-1.4.9,Geriatrics,"rasāyanacikitsā, jarācikitsā",vṛddha roga,False
ITA-1.4.10,Fertility treatment,"vājīkaraṇacikitsā̄, vṛṣacikitsā,",śukra dhatu cikitsā,False
ITA-1.4.11,"Obstetrics, gynecology","prasūtītantra, strīroga",garbha roga,False
ITA-1.5.1,Knowledge system or treatise,"śāstram, sūtram, śākhāvidyā, jñānam, tantram, vidhiḥ, vijñānam, lakṣaṇam",śāstra,True
ITA-1.5.2,"Aphorism, summarized knowledge",sūtram,sutra,True
ITA-1.5.3,Branch of knowledge,śākhā,vidyā,False
ITA-1.5.4,"Knowledge, discipline",vidyā,jñāna,False
ITA-1.5.5,"Understanding, religious knowledge",jñānam,bodha,False
ITA-1.5.6,"Treatise, structurally organized knowledge",tantram,nibandha,False
ITA-1.5.7,Mandatory injunction,vidhiḥ,niyama,False
ITA-1.5.8,Applied knowledge,vijñānam,prayoga,False
ITA-1.5.9,Qualities of technical writing,śāstraguṇāḥ,vyākhyāna,False
ITA-1.6.1,Devices for composition and analysis of technical treatises,tantrayuktiḥ,nirnaya,False
ITA-1.6.2,Extending the scope or inclusiveness of a rule,atideśaḥ,pratibandha,False
ITA-1.6.3,Retrospective crossreferencing,atītāvekṣaṇam,prakriya,False
ITA-1.6.4,Topic or subject of discussion,adhikaraṇam,vastu,False
ITA-1.6.5,Prospective crossreferencing,anāgatavekṣaṇam,āgamana,False
ITA-1.6.6,Acceptance by not refuting,anumataḥ,anumodana,False
ITA-1.6.7,Acceptance of multiple conclusions,anekāntaḥ,anekāntavāda,False
ITA-1.6.8,Supporting a proposed hypothesis,apadeśaḥ,anumāna,False
ITA-1.6.9,Statement of exception,apavargaḥ,vyatireka,False
ITA-1.6.10,Implied or inferred meaning,arthāpattiḥ,lakṣya,False
ITA-1.6.11,Concise statement,uddeśaḥ,siddhānta,False
ITA-1.6.12,Consolidating an opinion by refuting other hypotheses,uddhāraḥ,nirṇaya,False
ITA-1.6.13,Authoritative instruction,upadeśaḥ,ācārya vākya,False
ITA-1.6.14,Extrapolation,ūhyam,anumāna,False
ITA-1.6.15,Definite conclusion,ekāntaḥ,naya,False
ITA-1.6.16,Illustrative statement,nidarśanam,vyākhyāna,False
ITA-1.6.17,"Execution of appropriate action, mandatory instruction",niyogaḥ/ sanniyogaḥ,kriyā,False
ITA-1.6.18,Decision based on critical analysis,nirṇayaḥ,nirṇaya,True
ITA-1.6.19,"Detailed description, elaboration of statement",nirdeśaḥ,vistāra,False
ITA-1.6.20,Technical definition,nirvacanam,nirupana,False
ITA-1.6.21,Objecting or opposing a proposed hypothesis,pūrvapakṣaḥ,pratikūla,False
ITA-1.6.22,Negating or refuting an opposing viewpoint,pratyutsāraḥ,nirākaraṇa,False
ITA-1.6.23,Partial description,pradeśaḥ,āṃśa,False
ITA-1.6.24,"Aim, objective",Prayojanam,upadeśa,False
ITA-1.6.25,Contextual repetition,prasaṅgaḥ,anupravṛtti,False
ITA-1.6.26,"Union, compounding, a structured sentence (syntax)",yogaḥ,saṃyoga,False
ITA-1.6.27,Supply of ellipsis,vākyaśeṣaḥ,anekārthavāda,False
ITA-1.6.28,Optional instructions,vikalpanam,vibhakti,False
ITA-1.6.29,Sequential narration or enumeration,vidhānam,krama,False
ITA-1.6.30,Implying the opposite meaning,viparyayaḥ,viparīta,False
ITA-1.6.31,Lucid explanation,vyākhyānam,prakāśana,False
ITA-1.6.32,Inconclusive statement,saṃśayaḥ,anavadya,False
ITA-1.6.33,Enlisting one by one,samuccayaḥ,ekāṅga,False
ITA-1.6.34,Statement indicating a source,sambhavaḥ,pramāṇa,False
ITA-1.6.35,Technical terminology limited to a school of thought,svasañjñā,naya,False
ITA-1.6.36,Extended reasoning,hetvarthaḥ,anvaya,False
ITA-1.6.37,Source of meaning,arthāśrayaḥ,artha,True
ITA-1.6.38,"Concept, hypothesis",kalpanā,prakriyā,False
ITA-1.6.39,Inclinations,tācchilyam,pravṛtti,False
ITA-1.6.40,"Explanation, commentary",vyākhyā,vṛtti,False
ITA-1.7.1,Theory,siddhāntaḥ,siddhānta,True
ITA-1.7.2,Doctrine,vādaḥ,mati,False
ITA-1.7.3,Rules for debate,vādamārgaḥ,vāda,True
ITA-1.7.4,Unquestionable statement,ananuyojyam,nirvighna,False
ITA-1.7.5,Question,anuyogaḥ,prashna,False
ITA-1.7.6,Questionable statement,anuyojyam,saṃśaya,False
ITA-1.7.7,Unquestioning acceptance,abhyanujñā,anvaya,False
ITA-1.7.8,Implied meaning,arthaprāptiḥ,laukika,False
ITA-1.7.9,Varying meaning or shifting the topic,arthāntaram,viparīta,False
ITA-1.7.10,Rejoinder,uttaram,pratikūla,False
ITA-1.7.11,Application of proof,upanayaḥ,pramāṇa,False
ITA-1.7.12,Abusive argument,upālambhaḥ,abhiprāya,False
ITA-1.7.13,Perverted or deceitful argument,chalaḥ,viparīta,False
ITA-1.7.14,Defensive argument,jalpaḥ,pratikūla,False
ITA-1.7.15,Inquisitiveness,jijñāsā,jijñāsā,True
ITA-1.7.16,Discussion amongst peers,tadvidyasambhāṣā,saṃvāda,False
ITA-1.7.17,"Deduction, conclusion",nigamanam,anvaya,False
ITA-1.7.18,Point of defeat,nigrahasthānam,nigrahya,False
ITA-1.7.19,Amendment of a faulty statement,parihāraḥ,pratikūla,False
ITA-1.7.20,"Proposition, proposed hypothesis",pratijñā,prakriyā,False
ITA-1.7.21,Abandoning the hypothesis,pratijñāhāniḥ,pratikūla,False
ITA-1.7.22,Proving the alternate hypothesis,pratiṣṭhāpanā,anvaya,False
ITA-1.7.23,Counter-question,pratyanuyogaḥ,prashna,False
ITA-1.7.24,"Syntax error, defective sentence",vākyadoṣaḥ,vākyārtha,False
ITA-1.7.25,Correct statement,vākyapraśaṃsā,pramāṇa,False
ITA-1.7.26,"Hostile debate, offensive argument",vitaṇḍā,pratikūla,False
ITA-1.7.27,Decision,vyavasāyaḥ,naya,False
ITA-1.7.28,Proving the proposed hypothesis,sthāpanā,anvaya,False
ITA-1.7.29,Proposing the wrong reason,hetvantaram,pratikūla,False
ITA-1.7.30,Discussion and debate amongst peers,"tadvidyasaṃbhāṣā,",saṃvāda,False
ITA-1.7.31,Productive debate,sandhāyasaṃbhāṣā,anvaya,False
ITA-1.7.32,"Unproductive, hostile debate",vigṛhyasaṃbhāṣā,pratikūla,False
ITA-1.8.1,"Investigation, examination",parīkṣā,parīkṣā,True
ITA-1.8.2,Knowledge,pramā,jñāna,False
ITA-1.8.1.1,"Direct perception, observation",pratyakṣam,pratyakṣa,True
ITA-1.8.1.2,Contact,sannikarṣaḥ,sparśa,False
ITA-1.8.1.3,Indeterminate perception,nirvikalpakam,avyakta,False
ITA-1.8.1.4,Determinate perception,savikalpakam,vyakta,False
ITA-1.8.2.1,Inference based on observations,anumānam,anumāna,True
ITA-1.8.2.2,Inferential knowledge,anumitiḥ,anumiti,True
ITA-1.8.2.3,Fallacious reason,ahetuḥ,kārya,False
ITA-1.8.2.4,Cause or variable,hetu,kāraṇa,False
ITA-1.8.2.5,"Cause or variable, independent variable",sadhetu,kāraṇa,False
ITA-1.8.2.6,Independent variable,sādhana,kāraṇa,False
ITA-1.8.2.7,Dependent variable,sādhya,phala,False
ITA-1.8.2.8,False positive or false negative,hetvābhāsaḥ,mithyāpratīti,False
ITA-1.8.2.9,"Invariable concomitance, sensitivity",avinābhāvasaṃbandhaḥ,anavacchedaka,False
ITA-1.8.2.10,"Non-deviation, specificity",avyabhicāritva,anavaccheda,False
ITA-1.8.2.11,Inseparable coexistence,ayutasiddhatvam,anavaccheda,False
ITA-1.8.2.12,Chance effect,yadṛcchāsiddhiḥ,vyavahāra,False
ITA-1.8.2.13,Real effect,prātiniyamikīsiddhiḥ,kārya,False
ITA-1.8.2.14,Conditional effect,aupādhika,pratibandha,False
ITA-1.8.2.15,Negative correlation,kevalavyatirekianumānam,anavasthāna,False
ITA-1.8.2.16,Positive correlation,kevalānvayi-anumānam,anavasthāna,False
ITA-1.8.2.17,Speculative reasoning or debate,tarkaḥ,tarka,True
ITA-1.8.2.18,Inference for self,svārthānumānam,svārthānumāna,True
ITA-1.8.2.19,Inference for others,parārthānumānam,parārthānumāna,True
ITA-1.8.2.20,Improper reason appearing identical to the subject,prakaraṇasamaḥ,kārya,False
ITA-1.8.2.21,Inference based on analogy,parāmarśaḥ,upamāna,False
ITA-1.8.2.22,Subject under investigation,pakṣaḥ,vastu,False
ITA-1.8.2.23,Context in which a cause-and-effect relationship is affirmed,sapakṣaḥ,sambandha,False
ITA-1.8.2.24,Context in which a cause-and-effect relationship is negated,vipakṣaḥ,viyogin,False
ITA-1.8.2.25,Invariable concomitance,vyāptiḥ,anavaccheda,False
ITA-1.8.2.26,Negative invariable concomitance,vyatirekavyāptiḥ,anavaccheda,False
ITA-1.8.2.27,Five-stepped syllogism,pañcāvayava-vākyam,anumāna,False
ITA-1.8.2.28,Categorical examples,udāharaṇam,dṛṣṭānta,False
ITA-1.8.2.29,Causative agent,kāraṇam,kāraṇa,True
ITA-1.8.2.30,Inherent cause,samavāyikāraṇam,svābhāvika,False
ITA-1.8.2.31,Non-inherent cause,asamavāyi-kāraṇam,anuvyavahārika,False
ITA-1.8.2.32,Efficient cause,nimitta-kāraṇam,kāraṇa,True
ITA-1.8.3.1,"Codified knowledge, expert opinion",āptopadeśaḥ,śabda,False
ITA-1.8.3.2,"Reasoning, understanding causation",yuktiḥ,tarka,False
ITA-1.8.3.3,Analogy,upamānaḥ,upamāna,True
ITA-1.8.3.4,"Object of knowledge, the object of investigation",prameyaḥ,vastu,False
ITA-1.8.3.5,Object denoted by a word,padārthaḥ,śabda,False
ITA-1.9.1,Six ontological categories of an object,ṣaṭpadārthāḥ,guṇa,False
ITA-1.9.1.1,"Generality, shared feature",sāmānyam,sāmānya,True
ITA-1.9.1.2,Similarity at the level of substance,dravya-sāmānyam,dravyasāmya,False
ITA-1.9.1.3,Similarity at the level of qualities or properties,guṇa-sāmānyam,guṇasāmya,False
