ITA_ID,English_Term,Ground_Truth,Predicted,Match
ITA-1.1.1,Ayurveda,Āyurvedaḥ,"Ayur = life, Veda = knowledge",False
ITA-1.2.1,"Life process, cycle or span",1.āyuḥ; 2.dhāri; 3.jīvitam; 4.nityaga; 5.anubandhaḥ,"Veda = science, knowledge",False
ITA-1.2.2,Salutary life,hitāyuḥ,"Ayus = life, process",False
ITA-1.2.3,Unsalutary life,ahitāyuḥ,"Sad = good, salutary",False
ITA-1.2.4,High quality of life,sukhāyuḥ,"Ayu = life, span",False
ITA-1.2.5,Poor quality of life,duḥkhāyuḥ,"Asad = bad, unsalutary",False
ITA-1.3.1,Three core principles of Ayurveda knowledge,"trisūtrāyurvedaḥ, triskandhaḥ","Tri = three, core",False
ITA-1.4.1,Eight clinical specialities of Ayurveda,aṣṭāṅgāyurvedaḥ,"Ashtau = eight, clinical",False
ITA-1.4.2,Treatment,cikitsā,Chikitsa = treatment,False
ITA-1.4.3,General medicine,kāyacikitsā,Bhishak = physician,False
ITA-1.4.4,Child and maternal health,"bālacikitsā, kaumārabhṛtyam",Shalya = surgery,False
ITA-1.4.5,Psychiatry,"grahacikitsā, bhūtavidyā",Bhuta = elements,False
ITA-1.4.6,Head and neck medicine,"śālakyatantra, ūrdhvāṅgacikitsā",Agni = fire,False
ITA-1.4.7,Surgery,śalyacikitsā,Vata = air,False
ITA-1.4.8,Toxicology,"viṣacikitsā, garacikitsā",Shastra = instrument,False
ITA-1.4.9,Geriatrics,"rasāyanacikitsā, jarācikitsā",Vayas Chikitsa,False
ITA-1.4.10,Fertility treatment,"vājīkaraṇacikitsā̄, vṛṣacikitsā,",Prasutitantra,False
ITA-1.4.11,"Obstetrics, gynecology","prasūtītantra, strīroga",Striroga,True
ITA-1.5.1,Knowledge system or treatise,"śāstram, sūtram, śākhāvidyā, jñānam, tantram, vidhiḥ, vijñānam, lakṣaṇam",Ayurveda,False
ITA-1.5.2,"Aphorism, summarized knowledge",sūtram,Jnana-shastra,False
ITA-1.5.3,Branch of knowledge,śākhā,Kaumarabhritya,False
ITA-1.5.4,"Knowledge, discipline",vidyā,Jnana,False
ITA-1.5.5,"Understanding, religious knowledge",jñānam,Shastra,False
ITA-1.5.6,"Treatise, structurally organized knowledge",tantram,Abhyasa,False
ITA-1.5.7,Mandatory injunction,vidhiḥ,Yukti,False
ITA-1.5.8,Applied knowledge,vijñānam,Adhyayana,False
ITA-1.5.9,Qualities of technical writing,śāstraguṇāḥ,Tarka,False
ITA-1.6.1,Devices for composition and analysis of technical treatises,tantrayuktiḥ,Anumana,False
ITA-1.6.2,Extending the scope or inclusiveness of a rule,atideśaḥ,Anvaya,False
ITA-1.6.3,Retrospective crossreferencing,atītāvekṣaṇam,Anuvritti,False
ITA-1.6.4,Topic or subject of discussion,adhikaraṇam,विषयं यावत् चर्चायाम् । 2. पुनर्विचारं न भवति । 3. स्वीक्रियते न पुनर्विचारः । 4. स्वीक्रियते न पुनर्विचारः । 5. स्वीक्रियते न पुनर्विचारः । 6. स्वीक्रियते न पुनर्विचारः । 7. स्वीक्रियते न पुनर्विचारः । 8. स्वीक्रियते न पुनर्विचारः । 9. स्वीक्रियते न पुनर्विचारः । 10. स्वीक्रियते न पुनर्विचारः । 11. स्वीक्रियते न पुनर्विचारः । 12. स्वीक्रियते न पुनर्विचारः । 13. स्वीक्रियते न पुनर्विचारः । 14. स्वीक्रियते न पुनर्विचारः । 15. स्वीक्रियते न पुनर्विचारः,False
ITA-1.6.5,Prospective crossreferencing,anāgatavekṣaṇam,,False
ITA-1.6.6,Acceptance by not refuting,anumataḥ,,False
ITA-1.6.7,Acceptance of multiple conclusions,anekāntaḥ,,False
ITA-1.6.8,Supporting a proposed hypothesis,apadeśaḥ,,False
ITA-1.6.9,Statement of exception,apavargaḥ,,False
ITA-1.6.10,Implied or inferred meaning,arthāpattiḥ,,False
ITA-1.6.11,Concise statement,uddeśaḥ,,False
ITA-1.6.12,Consolidating an opinion by refuting other hypotheses,uddhāraḥ,,False
ITA-1.6.13,Authoritative instruction,upadeśaḥ,,False
ITA-1.6.14,Extrapolation,ūhyam,,False
ITA-1.6.15,Definite conclusion,ekāntaḥ,,False
ITA-1.6.16,Illustrative statement,nidarśanam,,False
ITA-1.6.17,"Execution of appropriate action, mandatory instruction",niyogaḥ/ sanniyogaḥ,,False
ITA-1.6.18,Decision based on critical analysis,nirṇayaḥ,,False
ITA-1.6.19,"Detailed description, elaboration of statement",nirdeśaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.20,Technical definition,nirvacanam,N. Sanskrit: संस्कृत:,False
ITA-1.6.21,Objecting or opposing a proposed hypothesis,pūrvapakṣaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.22,Negating or refuting an opposing viewpoint,pratyutsāraḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.23,Partial description,pradeśaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.24,"Aim, objective",Prayojanam,N. Sanskrit: संस्कृत:,False
ITA-1.6.25,Contextual repetition,prasaṅgaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.26,"Union, compounding, a structured sentence (syntax)",yogaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.27,Supply of ellipsis,vākyaśeṣaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.28,Optional instructions,vikalpanam,N. Sanskrit: संस्कृत:,False
ITA-1.6.29,Sequential narration or enumeration,vidhānam,N. Sanskrit: संस्कृत:,False
ITA-1.6.30,Implying the opposite meaning,viparyayaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.31,Lucid explanation,vyākhyānam,N. Sanskrit: संस्कृत:,False
ITA-1.6.32,Inconclusive statement,saṃśayaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.33,Enlisting one by one,samuccayaḥ,N. Sanskrit: संस्कृत:,False
ITA-1.6.34,Statement indicating a source,sambhavaḥ,स्रोतम् (Source),False
ITA-1.6.35,Technical terminology limited to a school of thought,svasañjñā,तन्त्रम् (Tantra),False
ITA-1.6.36,Extended reasoning,hetvarthaḥ,विधिः (Method),False
ITA-1.6.37,Source of meaning,arthāśrayaḥ,सिद्धान्तम् (Theory),False
ITA-1.6.38,"Concept, hypothesis",kalpanā,आचारः (Practice),False
ITA-1.6.39,Inclinations,tācchilyam,अधिवेशनम् (Convention),False
ITA-1.6.40,"Explanation, commentary",vyākhyā,वादः (Debate),False
ITA-1.7.1,Theory,siddhāntaḥ,शास्त्रम् (Text),False
ITA-1.7.2,Doctrine,vādaḥ,तन्त्रयुक्तिः (Logic/Method),False
ITA-1.7.3,Rules for debate,vādamārgaḥ,तन्त्रयुक्तिः (Logic/Method),False
ITA-1.7.4,Unquestionable statement,ananuyojyam,तन्त्रयुक्तिः (Logic/Method),False
