ITA_ID,English_Term,Ground_Truth,Predicted,Match
ITA-1.1.1,Ayurveda,Āyurvedaḥ,āyurveda,True
ITA-1.2.1,"Life process, cycle or span",1.āyuḥ; 2.dhāri; 3.jīvitam; 4.nityaga; 5.anubandhaḥ,āyus,False
ITA-1.2.2,Salutary life,hitāyuḥ,hita āyus,False
ITA-1.2.3,Unsalutary life,ahitāyuḥ,ahita āyus,False
ITA-1.2.4,High quality of life,sukhāyuḥ,sukha āyus,False
ITA-1.2.5,Poor quality of life,duḥkhāyuḥ,duḥkha āyus,False
ITA-1.3.1,Three core principles of Ayurveda knowledge,"trisūtrāyurvedaḥ, triskandhaḥ",trayopasthambha,False
ITA-1.4.1,Eight clinical specialities of Ayurveda,aṣṭāṅgāyurvedaḥ,aṣṭāṅga,True
ITA-1.4.2,Treatment,cikitsā,cikitsā,True
ITA-1.4.3,General medicine,kāyacikitsā,kāyacikitsā,True
ITA-1.4.4,Child and maternal health,"bālacikitsā, kaumārabhṛtyam",bālacikitsā,True
ITA-1.4.5,Psychiatry,"grahacikitsā, bhūtavidyā",bhūtavidyā,True
ITA-1.4.6,Head and neck medicine,"śālakyatantra, ūrdhvāṅgacikitsā",ūrdhvāṅgacikitsā,True
ITA-1.4.7,Surgery,śalyacikitsā,śalyatantra,False
ITA-1.4.8,Toxicology,"viṣacikitsā, garacikitsā",agadatantra,False
ITA-1.4.9,Geriatrics,"rasāyanacikitsā, jarācikitsā",rasāyanatantra,False
ITA-1.4.10,Fertility treatment,"vājīkaraṇacikitsā̄, vṛṣacikitsā,",vājīkaraṇatantra,False
ITA-1.4.11,"Obstetrics, gynecology","prasūtītantra, strīroga",strīroga,True
ITA-1.5.1,Knowledge system or treatise,"śāstram, sūtram, śākhāvidyā, jñānam, tantram, vidhiḥ, vijñānam, lakṣaṇam",tantra,True
ITA-1.5.2,"Aphorism, summarized knowledge",sūtram,sūtra,True
ITA-1.5.3,Branch of knowledge,śākhā,śākhā,True
ITA-1.5.4,"Knowledge, discipline",vidyā,vidyā,True
ITA-1.5.5,"Understanding, religious knowledge",jñānam,jñāna,True
ITA-1.5.6,"Treatise, structurally organized knowledge",tantram,saṃhitā,False
ITA-1.5.7,Mandatory injunction,vidhiḥ,vidhāna,False
ITA-1.5.8,Applied knowledge,vijñānam,prayoga,False
ITA-1.5.9,Qualities of technical writing,śāstraguṇāḥ,tantrayukti,False
ITA-1.6.1,Devices for composition and analysis of technical treatises,tantrayuktiḥ,tantrayukti,True
ITA-1.6.2,Extending the scope or inclusiveness of a rule,atideśaḥ,atideśa,True
ITA-1.6.3,Retrospective crossreferencing,atītāvekṣaṇam,anukta,False
ITA-1.6.4,Topic or subject of discussion,adhikaraṇam,adhikaraṇa,True
ITA-1.6.5,Prospective crossreferencing,anāgatavekṣaṇam,anāgata,True
ITA-1.6.6,Acceptance by not refuting,anumataḥ,anumata,True
ITA-1.6.7,Acceptance of multiple conclusions,anekāntaḥ,anaikāntika,False
ITA-1.6.8,Supporting a proposed hypothesis,apadeśaḥ,anuyojya,False
ITA-1.6.9,Statement of exception,apavargaḥ,apavarga,True
ITA-1.6.10,Implied or inferred meaning,arthāpattiḥ,artha,True
ITA-1.6.11,Concise statement,uddeśaḥ,atideśa,False
ITA-1.6.12,Consolidating an opinion by refuting other hypotheses,uddhāraḥ,atikrāntāvekṣaṇa,False
ITA-1.6.13,Authoritative instruction,upadeśaḥ,ādeśa,True
ITA-1.6.14,Extrapolation,ūhyam,atideśa,False
ITA-1.6.15,Definite conclusion,ekāntaḥ,nirnaya,False
ITA-1.6.16,Illustrative statement,nidarśanam,uddeśa,False
ITA-1.6.17,"Execution of appropriate action, mandatory instruction",niyogaḥ/ sanniyogaḥ,yukti,False
ITA-1.6.18,Decision based on critical analysis,nirṇayaḥ,vikalpa,False
ITA-1.6.19,"Detailed description, elaboration of statement",nirdeśaḥ,nirdeśa,True
ITA-1.6.20,Technical definition,nirvacanam,nirukti,False
ITA-1.6.21,Objecting or opposing a proposed hypothesis,pūrvapakṣaḥ,pūrvapakṣa,True
ITA-1.6.22,Negating or refuting an opposing viewpoint,pratyutsāraḥ,uttarapakṣa,False
ITA-1.6.23,Partial description,pradeśaḥ,ekadeśa,False
ITA-1.6.24,"Aim, objective",Prayojanam,prayojana,True
ITA-1.6.25,Contextual repetition,prasaṅgaḥ,anuvṛtti,False
ITA-1.6.26,"Union, compounding, a structured sentence (syntax)",yogaḥ,samāsa,False
ITA-1.6.27,Supply of ellipsis,vākyaśeṣaḥ,anukti,False
ITA-1.6.28,Optional instructions,vikalpanam,vikalpa,True
ITA-1.6.29,Sequential narration or enumeration,vidhānam,saṃkhyā,False
ITA-1.6.30,Implying the opposite meaning,viparyayaḥ,viparyaya,True
ITA-1.6.31,Lucid explanation,vyākhyānam,vivaraṇa,False
ITA-1.6.32,Inconclusive statement,saṃśayaḥ,aniyoga,False
ITA-1.6.33,Enlisting one by one,samuccayaḥ,nirdeśa,False
ITA-1.6.34,Statement indicating a source,sambhavaḥ,nirdharaṇa,False
ITA-1.6.35,Technical terminology limited to a school of thought,svasañjñā,svasaṃjñā,False
ITA-1.6.36,Extended reasoning,hetvarthaḥ,atideśa,False
ITA-1.6.37,Source of meaning,arthāśrayaḥ,arthāpatti,False
ITA-1.6.38,"Concept, hypothesis",kalpanā,kalpanā,True
ITA-1.6.39,Inclinations,tācchilyam,vāsanā,False
ITA-1.6.40,"Explanation, commentary",vyākhyā,vyākhyāna,True
ITA-1.7.1,Theory,siddhāntaḥ,vāda,False
ITA-1.7.2,Doctrine,vādaḥ,siddhānta,False
ITA-1.7.3,Rules for debate,vādamārgaḥ,vādamārga,True
ITA-1.7.4,Unquestionable statement,ananuyojyam,apraśna,False
ITA-1.7.5,Question,anuyogaḥ,praśna,False
ITA-1.7.6,Questionable statement,anuyojyam,sapraśna,False
ITA-1.7.7,Unquestioning acceptance,abhyanujñā,apratipraśna,False
ITA-1.7.8,Implied meaning,arthaprāptiḥ,abhisaṃdhi,False
ITA-1.7.9,Varying meaning or shifting the topic,arthāntaram,anyathākhyāna,False
ITA-1.7.10,Rejoinder,uttaram,uttara,True
ITA-1.7.11,Application of proof,upanayaḥ,upanayana,False
ITA-1.7.12,Abusive argument,upālambhaḥ,vigarhita,False
ITA-1.7.13,Perverted or deceitful argument,chalaḥ,chala,True
ITA-1.7.14,Defensive argument,jalpaḥ,parihāra,False
ITA-1.7.15,Inquisitiveness,jijñāsā,jijñāsā,True
ITA-1.7.16,Discussion amongst peers,tadvidyasambhāṣā,saṃbhāṣā,True
ITA-1.7.17,"Deduction, conclusion",nigamanam,nigamana,True
ITA-1.7.18,Point of defeat,nigrahasthānam,nigrahasthāna,True
ITA-1.7.19,Amendment of a faulty statement,parihāraḥ,pratisaṃskāra,False
ITA-1.7.20,"Proposition, proposed hypothesis",pratijñā,pakṣa,False
ITA-1.7.21,Abandoning the hypothesis,pratijñāhāniḥ,pakṣatyāga,False
ITA-1.7.22,Proving the alternate hypothesis,pratiṣṭhāpanā,pratipakṣa,False
ITA-1.7.23,Counter-question,pratyanuyogaḥ,pratipraśna,False
ITA-1.7.24,"Syntax error, defective sentence",vākyadoṣaḥ,vākyadoṣa,True
ITA-1.7.25,Correct statement,vākyapraśaṃsā,suvacana,False
ITA-1.7.26,"Hostile debate, offensive argument",vitaṇḍā,jalpa,False
ITA-1.7.27,Decision,vyavasāyaḥ,nirṇaya,False
ITA-1.7.28,Proving the proposed hypothesis,sthāpanā,pakṣasādhana,False
ITA-1.7.29,Proposing the wrong reason,hetvantaram,hetvābhāsa,False
ITA-1.7.30,Discussion and debate amongst peers,"tadvidyasaṃbhāṣā,",saṃbhāṣāvāda,False
ITA-1.7.31,Productive debate,sandhāyasaṃbhāṣā,anulomavāda,False
ITA-1.7.32,"Unproductive, hostile debate",vigṛhyasaṃbhāṣā,vitaṇḍā,False
ITA-1.8.1,"Investigation, examination",parīkṣā,parīkṣā,True
ITA-1.8.2,Knowledge,pramā,jñāna,False
ITA-1.8.1.1,"Direct perception, observation",pratyakṣam,pratyakṣa,True
ITA-1.8.1.2,Contact,sannikarṣaḥ,sannikarṣa,True
ITA-1.8.1.3,Indeterminate perception,nirvikalpakam,nirvikalpaka,True
ITA-1.8.1.4,Determinate perception,savikalpakam,savikalpaka,True
ITA-1.8.2.1,Inference based on observations,anumānam,anumāna,True
ITA-1.8.2.2,Inferential knowledge,anumitiḥ,anumiti,True
ITA-1.8.2.3,Fallacious reason,ahetuḥ,hetvābhāsa,False
ITA-1.8.2.4,Cause or variable,hetu,hetu,True
ITA-1.8.2.5,"Cause or variable, independent variable",sadhetu,liṅga,False
ITA-1.8.2.6,Independent variable,sādhana,pakṣa,False
ITA-1.8.2.7,Dependent variable,sādhya,sādhya,True
ITA-1.8.2.8,False positive or false negative,hetvābhāsaḥ,anyathāsiddha,False
ITA-1.8.2.9,"Invariable concomitance, sensitivity",avinābhāvasaṃbandhaḥ,anvaya,False
ITA-1.8.2.10,"Non-deviation, specificity",avyabhicāritva,avyabhicāra,False
ITA-1.8.2.11,Inseparable coexistence,ayutasiddhatvam,avinābhāva,False
ITA-1.8.2.12,Chance effect,yadṛcchāsiddhiḥ,yadṛcchā,True
ITA-1.8.2.13,Real effect,prātiniyamikīsiddhiḥ,bhūtārtha,False
ITA-1.8.2.14,Conditional effect,aupādhika,upādhi,True
ITA-1.8.2.15,Negative correlation,kevalavyatirekianumānam,vyatireka,False
ITA-1.8.2.16,Positive correlation,kevalānvayi-anumānam,anvaya,False
ITA-1.8.2.17,Speculative reasoning or debate,tarkaḥ,tarka,True
ITA-1.8.2.18,Inference for self,svārthānumānam,svārthānumāna,True
ITA-1.8.2.19,Inference for others,parārthānumānam,parārthānumāna,True
ITA-1.8.2.20,Improper reason appearing identical to the subject,prakaraṇasamaḥ,asādhāraṇa,False
ITA-1.8.2.21,Inference based on analogy,parāmarśaḥ,upamāna,False
ITA-1.8.2.22,Subject under investigation,pakṣaḥ,pakṣa,True
ITA-1.8.2.23,Context in which a cause-and-effect relationship is affirmed,sapakṣaḥ,sapakṣa,True
ITA-1.8.2.24,Context in which a cause-and-effect relationship is negated,vipakṣaḥ,vipakṣa,True
ITA-1.8.2.25,Invariable concomitance,vyāptiḥ,vyāpti,True
ITA-1.8.2.26,Negative invariable concomitance,vyatirekavyāptiḥ,vyatirekavyāpti,True
ITA-1.8.2.27,Five-stepped syllogism,pañcāvayava-vākyam,pañcāvayava,True
ITA-1.8.2.28,Categorical examples,udāharaṇam,dṛṣṭānta,False
ITA-1.8.2.29,Causative agent,kāraṇam,nimitta,False
ITA-1.8.2.30,Inherent cause,samavāyikāraṇam,samavāyikāraṇa,True
ITA-1.8.2.31,Non-inherent cause,asamavāyi-kāraṇam,asamavāyikāraṇa,True
ITA-1.8.2.32,Efficient cause,nimitta-kāraṇam,nimittakāraṇa,True
ITA-1.8.3.1,"Codified knowledge, expert opinion",āptopadeśaḥ,āptopadeśa,True
ITA-1.8.3.2,"Reasoning, understanding causation",yuktiḥ,yukti,True
ITA-1.8.3.3,Analogy,upamānaḥ,upamāna,True
ITA-1.8.3.4,"Object of knowledge, the object of investigation",prameyaḥ,prameya,True
ITA-1.8.3.5,Object denoted by a word,padārthaḥ,vācyārtha,False
ITA-1.9.1,Six ontological categories of an object,ṣaṭpadārthāḥ,ṣaṭpadārtha,True
ITA-1.9.1.1,"Generality, shared feature",sāmānyam,sāmānya,True
ITA-1.9.1.2,Similarity at the level of substance,dravya-sāmānyam,dravyasāmānya,True
ITA-1.9.1.3,Similarity at the level of qualities or properties,guṇa-sāmānyam,guṇasāmānya,True
ITA-1.9.1.4,Similarity at the level of action,karma-sāmānyam,karmasāmānya,True
ITA-1.9.2.1,"Particularity, distinct feature",viśeṣam,viśeṣa,True
ITA-1.9.2.2,Dissimilarity at the level of substance,dravya-viśeṣaḥ,dravyaviśeṣa,True
ITA-1.9.2.3,Dissimilarity at the level of quality,guṇa-viśeṣaḥ,guṇaviśeṣa,True
ITA-1.9.2.4,Dissimilarity at the level of action,karma-viśeṣaḥ,karmaviśeṣa,True
ITA-1.9.3.1,"Substance, entity",dravyam,dravya,True
ITA-1.9.3.1.1,Causal material,kāraṇadravyam,upādāna,False
ITA-1.9.3.1.2,Five elements,pañcamahābhūta,pañcamahābhūta,True
ITA-1.9.3.1.3,Space element,ākāśaḥ,ākāśa,True
ITA-1.9.3.1.4,Air element,vāyuḥ,vāyu,True
ITA-1.9.3.1.5,Fire element,Tejaḥ,agni,False
ITA-1.9.3.1.6,Water element,jalam,jala,True
ITA-1.9.3.1.7,Earth element,pṛthvī,pṛthivī,False
ITA-1.9.3.1.8,"Rudimentary, undifferentiated element",tanmātrā,tanmātra,True
ITA-1.9.3.2.1,Self,ātmā,ātman,True
ITA-1.9.3.2.2,Self-embodied being,bhūtātmā,śarīrin,False
ITA-1.9.3.2.3,"Living being, individual self",jīvaḥ,jīva,True
ITA-1.9.3.2.4,The knower,jñaḥ,jñātā,False
ITA-1.9.3.2.5,"The doer, the executing agent",kartā,kartā,True
ITA-1.9.3.2.6,Witness of all actions,sākṣī,sākṣin,True
ITA-1.9.3.2.7,Relating to self,ādhyātmika,ātmaja,False
ITA-1.9.3.2.8,"Subtle body, causal body",ativāhika-śarīram/ sūkṣmaśarīram/ liṅgaśarīram,liṅgaśarīra,True
ITA-1.9.3.2.9,"Person, living being",puruṣaḥ,puruṣa,True
ITA-1.9.3.2.10,Complete self-control,vaśī,ātmavaśyatā,False
ITA-1.9.3.2.11,Person as the object of treatment,"cikitsya-puruṣaḥ, ṣaḍdhātupuruṣa",ātura,False
ITA-1.9.3.2.12,Embodied being composed of 24 elements,caturviṃśati-puruṣaḥ,caturviṃśatika,False
ITA-1.9.3.2.13,"Invisible, unforeseen",adṛṣṭam,adṛṣṭa,True
ITA-1.9.3.2.14,Inactive,niṣkriyaḥ,niṣkriya,True
ITA-1.9.3.2.15,Omnipresent,vibhu,vibhu,True
ITA-1.9.3.2.16,Without beginning,anādi,anādi,True
ITA-1.9.3.2.17,Consciousness,cetanā/ caitanyam,cetanā,True
ITA-1.9.3.2.18,Eternal,nityam,nitya,True
ITA-1.9.3.2.19,Formless,nirvikāram,arūpa,False
ITA-1.9.3.2.20,Irresistible will,prākāmyam,icchā,False
ITA-1.9.3.2.21,Immutable,avyayaḥ,avyaya,True
ITA-1.9.3.2.22,"Observer, witness of all actions",draṣṭā,draṣṭā,True
ITA-1.9.3.2.23,Independent,svatantra,svatantra,True
ITA-1.9.3.2.24,Introverted consciousness,antaścetana,pratyakcetanā,False
ITA-1.9.3.2.25,"Salvation, liberation",mokṣaḥ,mokṣa,True
ITA-1.9.3.2.26,Perception of truth,satyabuddhiḥ,tattvajñāna,False
ITA-1.9.3.2.27,Liberation in the embodied state,jīvanmuktiḥ,jīvanmukti,True
ITA-1.9.3.2.28,Person showing signs of impending death,puṣpitaḥ,ariṣṭa,False
ITA-1.9.3.2.29,After death,pretya,pretya,True
ITA-1.9.3.3.1,"Mind, psyche","manaḥ, cetaḥ",manas,False
ITA-1.9.3.3.2,Characteristics of mind,manoguṇaḥ/svarūpam,manolakṣaṇa,False
ITA-1.9.3.3.3,Atomicity,"aṇutva, paramāṇu",aṇutva,True
ITA-1.9.3.3.4,Singularity,ekatva,ekatva,True
ITA-1.9.3.3.5,Trans-sense migration,indriyāntara-sañcāraḥ,atīndriyagamana,False
ITA-1.9.3.3.6,"Transient, perishable",anityam,anitya,True
ITA-1.9.3.3.7,Objects of the mind,manoarthaḥ,manoviṣaya,False
ITA-1.9.3.3.8,Decision-making,cintanam,adhyavasāya,False
ITA-1.9.3.3.9,Reasoning,vicāraḥ,tarka,False
ITA-1.9.3.3.10,Conjecture,ūhaḥ,ūha,True
ITA-1.9.3.3.11,Contemplation,dhyānam,dhyāna,True
ITA-1.9.3.3.12,Evaluation,saṅkalpaḥ,parīkṣā,False
ITA-1.9.3.3.13,Psychological or mental attributes,mānasika-bhāvaḥ,mānasikabhāva,True
ITA-1.9.3.3.14,Intellect,dhīḥ,buddhi,False
ITA-1.9.3.3.15,Ability to control impulses,dhṛtiḥ,dhṛti,True
ITA-1.9.3.3.16,"Memory, recollection",smṛtiḥ,smṛti,True
ITA-1.9.3.3.17,Six internal enemies,ṣaḍripuḥ,ṣaḍripu,True
ITA-1.9.3.3.18,"Desire, lust",kāmaḥ,kāma,True
