ITA_ID,English_Term,Sanskrit_IAST
ITA-1.1.1,Ayurveda,Ayurvedah
ITA-1.2.1,"Life process, cycle or span",1.ayuh; 2.dhari; 3.jivitam; 4.nityaga; 5.anubandhah
ITA-1.2.2,Salutary life,hitayuh
ITA-1.2.3,Unsalutary life,ahitayuh
ITA-1.2.4,High quality of life,sukhayuh
ITA-1.2.5,Poor quality of life,duhkhayuh
ITA-1.3.1,Three core principles of Ayurveda knowledge,"trisutrayurvedah, triskandhah"
ITA-1.4.1,Eight clinical specialities of Ayurveda,ashtangayurvedah
ITA-1.4.2,Treatment,cikitsa
ITA-1.4.3,General medicine,kayacikitsa
ITA-1.4.4,Child and maternal health,"balacikitsa, kaumarabhrityam"
ITA-1.4.5,Psychiatry,"grahacikitsa, bhutavidya"
ITA-1.4.6,Head and neck medicine,"shalakyatantra, urdhvangacikitsa"
ITA-1.4.7,Surgery,shalyacikitsa
ITA-1.4.8,Toxicology,"vishacikitsa, garacikitsa"
ITA-1.4.9,Geriatrics,"rasayanacikitsa, jaracikitsa"
ITA-1.4.10,Fertility treatment,"vajikaranacikitsa, vrishacikitsa,"
ITA-1.4.11,"Obstetrics, gynecology","prasutitantra, striroga"
ITA-1.5.1,Knowledge system or treatise,"shastram, sutram, shakhavidya, jnanam, tantram, vidhih, vijnanam, lakshanam"
ITA-1.5.2,"Aphorism, summarized knowledge",sutram
ITA-1.5.3,Branch of knowledge,shakha
ITA-1.5.4,"Knowledge, discipline",vidya
ITA-1.5.5,"Understanding, religious knowledge",jnanam
ITA-1.5.6,"Treatise, structurally organized knowledge",tantram
ITA-1.5.7,Mandatory injunction,vidhih
ITA-1.5.8,Applied knowledge,vijnanam
ITA-1.5.9,Qualities of technical writing,shastragunah
ITA-1.6.1,Devices for composition and analysis of technical treatises,tantrayuktih
ITA-1.6.2,Extending the scope or inclusiveness of a rule,atideshah
ITA-1.6.3,Retrospective crossreferencing,atitavekshanam
ITA-1.6.4,Topic or subject of discussion,adhikaranam
ITA-1.6.5,Prospective crossreferencing,anagatavekshanam
ITA-1.6.6,Acceptance by not refuting,anumatah
ITA-1.6.7,Acceptance of multiple conclusions,anekantah
ITA-1.6.8,Supporting a proposed hypothesis,apadeshah
ITA-1.6.9,Statement of exception,apavargah
ITA-1.6.10,Implied or inferred meaning,arthapattih
ITA-1.6.11,Concise statement,uddeshah
ITA-1.6.12,Consolidating an opinion by refuting other hypotheses,uddharah
ITA-1.6.13,Authoritative instruction,upadeshah
ITA-1.6.14,Extrapolation,uhyam
ITA-1.6.15,Definite conclusion,ekantah
ITA-1.6.16,Illustrative statement,nidarshanam
ITA-1.6.17,"Execution of appropriate action, mandatory instruction",niyogah/ sanniyogah
ITA-1.6.18,Decision based on critical analysis,nirnayah
ITA-1.6.19,"Detailed description, elaboration of statement",nirdeshah
ITA-1.6.20,Technical definition,nirvacanam
ITA-1.6.21,Objecting or opposing a proposed hypothesis,purvapakshah
ITA-1.6.22,Negating or refuting an opposing viewpoint,pratyutsarah
ITA-1.6.23,Partial description,pradeshah
